,Access Rights,Accrual Periodicity,Alternative Title/Abstract,Contributor,Coverage,Creator,Date Created,Date Issued,Date Modified,Depiction,Description,Format,Has Part,High Value Dataset Category,Identifier,Is Part Of,Is Referenced By,Is Replaced By,Is Version Of,Jurisdiction,Language,License,Note,Publisher,Relation,Rights,Rights Statement,Source,Spatial Coverage,Subject,Temporal Coverage,Title,Type,unmapped_api_request_count,unmapped_catalog_title,unmapped_external_api_reference,unmapped_field_resource_type,unmapped_field_show_export,unmapped_is_api_available,unmapped_is_rated,unmapped_is_visualized,unmapped_odgp_view_count,unmapped_ogdp_download_count
36,,Annual,,National Crime Records Bureau (NCRB),Annual,National Crime Records Bureau (NCRB),17/10/2022,18/10/2022,18/10/2022,,,text/csv,,0,data.gov.in/resource/crime-head-wise-police-disposal-ipc-crime-cases-during-2021,,,,,Central,,,As per data provided by States/UTs,Ministry of Home Affairs;Department of States;National Crime Records Bureau (NCRB) | National Crime Records Bureau (NCRB),0.0,,,,data.gov.in,Police | Army,,Crime Head-wise Police Disposal of IPC Crime Cases during 2021,Dataset,1.0,Crime in India - 2021,0.0,1,True,1,0,nan,,1683
37,,Annual,,Ministry of Tourism,Annual,Ministry of Tourism,2/5/2019,28/10/2022,28/10/2022,,,text/csv,,0,data.gov.in/resource/foreign-tourist-arrivals-ftas-arrivals-non-resident-indians-nris-and-international-0,,,,,Central,,,"Source: Bureau of Immigration, Govt. of India; NA: Not Available; Data for '2018' is provisional; Value of 'FTAs in India - Percentage change over previous year' for 2018 is Growth Rate over same period of previous year.
",Ministry of Tourism | Ministry of Tourism,0.0,,,,data.gov.in,Travel and Tourism,,"Foreign Tourist Arrivals (FTAs), Arrivals of Non-Resident Indians (NRIs) and International Tourist Arrival (ITAs) from 1981 to 2017",Dataset,5.0,India Tourism Statistics,nan,1,True,0,0,0.0,,1673
38,,Annual,,Department of School Education and Literacy,Annual,Department of School Education and Literacy,13/1/2022,13/1/2022,27/1/2022,,,text/csv,,0,data.gov.in/resource/enrolment-age-and-class-udise-plus-during-2019-20,,,,,Central,,,nan,Ministry of Education;Department of School Education and Literacy | Department of School Education and Literacy,0.0,,,,data.gov.in,Education | Education,,Enrolment by Age and Class (UDISE plus) during 2019-20,Dataset,nan,Enrolment by Age and Class (UDISE plus),nan,1,True,1,1,1.0,,1656
39,,Quarterly,,Rajya Sabha,Quarterly,Rajya Sabha,29/5/2023,30/5/2023,30/5/2023,,,text/csv,,0,data.gov.in/resource/year-wise-retail-inflation-rate-based-consumer-price-index-combined-cpi-c-2017-18-2022-23,,,,,Central,,,"Source - RAJYA SABHA SESSION - 259 UNSTARRED QUESTION No 3106. ANSWERED ON, 28TH MARCH 2023. Data Figures are in Percentage. FY 2022-23 (April-February). Source - MOSPI. Note - Data for February 2023 is provisional.",Rajya Sabha | Rajya Sabha,0.0,,,,data.gov.in,All | Finance,,Year-wise retail inflation rate based on Consumer Price Index-Combined (CPI-C) from 2017-18 to 2022-23,Dataset,nan,Answers Data of Rajya Sabha Questions for Session 259,0.0,1,True,1,0,1.0,,1643
40,,Annual,,Ministry of Statistics and Programme Implementation,Annual,Ministry of Statistics and Programme Implementation,18/7/2017,1/8/2017,1/8/2017,,,text/csv,,0,data.gov.in/resource/gsva-economic-activity-current-prices-tamil-nadu-2011-12-2016-17-31032017,,,,,Central,,,Data values are Rs. in lakh.,Ministry of Statistics and Programme Implementation | Ministry of Statistics and Programme Implementation,nan,,,,data.gov.in,Finance;Economy;Statistics,,GSVA by Economic Activity at Current Prices for Tamil Nadu from 2011-12 to 2016-17 (as on 31.03.2017),Dataset,nan,Gross State Domestic Product at Current Prices,nan,1,True,1,1,0.0,,1639
41,,Daily,,Ministry of Labour and Employment,Daily,Ministry of Labour and Employment,19/12/2023,21/12/2023,27/6/2025,,,text/csv,,1,data.gov.in/resource/district-wise-demographic-data-unorganised-workers-registered-eshram-previous-day,,,,,Central,,,The data is based on self declaration.,Ministry of Labour and Employment | Ministry of Labour and Employment,1.0,,,,data.gov.in,Unorganized Sector Workers | Labour and Employment,,District-wise Demographic Data of Unorganised Workers registered on eShram as on Previous Day,Dataset,nan,Demographic Data of Unorganised Workers registered on eShram portal,7844104.0,5,True,1,1,nan,,1553
42,,Monthly,,Petroleum Planning & Analysis Cell (PPAC),Monthly,Petroleum Planning & Analysis Cell (PPAC),13/6/2023,14/6/2023,27/6/2025,,,text/csv,,1,data.gov.in/resource/monthly-crude-oil-processed-refineries,,,,,Central,,,"Source: Oil Companies, Some of the data may be provisional. For reference / details, please visit PPAC website (https://ppac.gov.in/)",Ministry of Petroleum and Natural Gas;Petroleum Planning & Analysis Cell (PPAC) | Petroleum Planning & Analysis Cell (PPAC),1.0,,,,data.gov.in,Non Renewable | Non Renewable,,Monthly Crude Oil Processed by Refineries,Dataset,nan,Crude Oil Processed by Refineries,7526649.0,4,True,1,0,nan,,1541
43,,Annual,,Ministry of Road Transport and Highways,Annual,Ministry of Road Transport and Highways,13/12/2017,14/12/2017,14/2/2025,,,text/csv,,0,data.gov.in/resource/statistics-road-accidents-india-2013-2016,,,,,Central,,,NA: Not Available,Ministry of Road Transport and Highways | Ministry of Road Transport and Highways,0.0,,,,data.gov.in,Transport;Road Transport | Transport;Road Transport;Transport;Road Transport;Transport;Road Transport;Transport;Road Transport,,Statistics of Road Accidents in India From 2013 to 2016,Dataset,nan,State/UT wise total no of road accidents,nan,1,True,1,1,1.0,,1480
44,,Annual,,Central Board of Secondary Education (CBSE),Annual,Central Board of Secondary Education (CBSE),13/6/2023,13/6/2023,13/6/2023,,,text/csv,,0,data.gov.in/resource/cbse-result-statistics-class-xii-2023,,,,,Central,,,"Regd.: Registered. Appd.: Appeared, CTSA: Central Tibetan School Administration. JNV: Jawahar Navodaya Vidyalaya. KV: Kendriya Vidyalaya. Data figures are in numbers.",Ministry of Education;Department of School Education and Literacy;Central Board of Secondary Education (CBSE) | Central Board of Secondary Education (CBSE),0.0,,,,data.gov.in,Education,,CBSE Result Statistics Class XII - 2023,Dataset,nan,CBSE Result Statistics Class XII,nan,1,True,1,0,nan,,1449
45,,Annual,,Department of Health and Family Welfare,Annual,Department of Health and Family Welfare,4/4/2018,4/4/2018,12/2/2025,,,text/csv,,0,data.gov.in/resource/district-wise-availability-health-centres-india-31st-march-2017,,,,,Central,,,"For Arunachal Pradesh, Out of 588  total 312 Sub Centres are functional in the State; For Tamil Nadu, Out of Total 1835 PHCs 1362 PHCs are functioning in Rural areas, while 473 are in urban areas;  Old name of district Gurugram was Gurgaon;  Old name of district Nuh was Mewat; NA: Not Available",Ministry of Health and Family Welfare;Department of Health and Family Welfare | Department of Health and Family Welfare,0.0,,,,data.gov.in,Health and Family welfare;Family Welfare;Health | Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health;Health and Family welfare;Health,,"District-wise availability of health centres in India as on 31st March, 2017",Dataset,nan,Rural Health Statistics - 2017,nan,1,True,1,1,1.0,,1444
46,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",2/1/2017,30/3/2017,10/12/2021,,,text/csv,,0,data.gov.in/resource/area-weighted-monthly-seasonal-and-annual-rainfall-mm-36-meteorological-subdivisions-1901,,,,,Central,,,Monthly rainfall series contains monthly rainfall data for the period 1901- 2012 from delayed mode computation using all available stations and 2013-2015 from real time data series; NA: Not Available,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",nan,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Science and Technology;Atmospheric Science;Earth Sciences,,"Area weighted monthly, seasonal and annual rainfall ( in mm) for 36 meteorological subdivisions from 1901-2015",Dataset,nan,Rainfall in India,nan,1,True,1,1,1.0,,1380
47,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",26/10/2015,30/9/2016,10/12/2021,,,text/csv,,0,data.gov.in/resource/monthly-mean-maximum-minimum-temperature-and-total-rainfall-based-upon-1901-2000-data-3,,,,,Central,,,nan,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",nan,,,,data.gov.in,Science and Technology;Earth Sciences | Science and Technology;Earth Sciences,,Monthly mean maximum & minimum temperature and total rainfall based upon 1901-2000 data,Dataset,1.0,Climatology data of Important Cities,nan,1,True,1,1,1.0,,1320
48,,Daily,,Petroleum Planning & Analysis Cell (PPAC),Monthly,Petroleum Planning & Analysis Cell (PPAC),19/5/2023,19/5/2023,27/6/2025,,,text/csv,,1,data.gov.in/resource/monthly-consumption-petroleum-products,,,,,Central,,,"i) Part of the data may be provisional. For details kindly refer to PPAC website ( https://ppac.gov.in )ii) The source of information includes Oil Companies, DGCIS & online SEZ data.",Ministry of Petroleum and Natural Gas;Petroleum Planning & Analysis Cell (PPAC) | Petroleum Planning & Analysis Cell (PPAC),1.0,,,,data.gov.in,Power and Energy,,Monthly Consumption of Petroleum Products,Dataset,nan,Consumption of Petroleum Products,7492382.0,1,True,1,0,nan,,1264
49,,Annual,,Department of Health and Family Welfare,Annual,Department of Health and Family Welfare,12/7/2016,13/7/2016,10/12/2021,,,text/csv,,0,data.gov.in/resource/state-wise-population-decadal-population-growth-rate-and-population-density-2011,,,,,Central,,,"For Manipur: Updated population of Manipur as per the order (9/25/2013-CD(Cen.) dtd 07-01-2014) of RGI; For Andhra Pradesh and Telangana: Data collected from the States; NA: Not Available; Source: Population Census of India, Office of the Registrar General & Census Commissioner, India",Ministry of Health and Family Welfare;Department of Health and Family Welfare | Department of Health and Family Welfare,nan,,,,data.gov.in,Health and Family welfare;Family Welfare;Health | Health and Family welfare;Family Welfare;Health,,"State-wise Population, Decadal Population Growth Rate and Population Density - 2011",Dataset,nan,Rural Health Statistics - 2015,nan,1,True,1,1,0.0,,1261
50,,One-time,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",23/7/2019,24/7/2019,7/8/2019,,,text/csv,,0,data.gov.in/resource/district-wise-total-msme-registered-manufacturing-enterprises-till-last-date,,,,,Central,,,nan,"Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Medium;Micro;Small Scale | Medium;Micro;Small Scale,,District Wise Total  MSME Registered Manufacturing Enterprises till last date,Dataset,nan,Udyog Aadhaar Memorandum  ( MSME Registration ),6667162.0,1,True,1,1,1.0,,1250
51,,Daily,,Department of Rural Development (DRD),Daily,Department of Rural Development (DRD),11/9/2023,13/9/2023,27/6/2025,,,text/csv,,1,data.gov.in/resource/district-wise-mgnrega-data-glance,,,,,Central,,,nan,Ministry of Rural Development;Department of Rural Development (DRD) | Department of Rural Development (DRD),1.0,,,,data.gov.in,Development | Development,,District-wise MGNREGA Data at a Glance ,Dataset,1.0,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),603001422.0,5,True,1,1,nan,,1235
52,,Daily,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",26/10/2021,1/11/2021,27/6/2025,,,text/csv,,1,data.gov.in/resource/district-level-manufacturing-msme-registered-enterprises-under-udyam-registration-till,,,,,Central,,,nan,"Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Industries;Medium;Micro;Small Scale | Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,,District Level Manufacturing MSME Registered Enterprises under UDYAM Registration till last date,Dataset,11.0, UDYAM Registration (MSME Registration),7159068.0,4,True,1,0,1.0,,1181
53,,Annual,,Department of Empowerment of Persons with Disabilities,Annual,Department of Empowerment of Persons with Disabilities,6/2/2024,7/2/2024,18/2/2025,,,application/vnd.ms-excel,,0,data.gov.in/resource/indian-sign-language-dictionary-till-january-2024,,,,,Central,,,nan,Ministry of Social Justice and Empowerment;Department of Empowerment of Persons with Disabilities | Department of Empowerment of Persons with Disabilities,0.0,,,,data.gov.in,Disabled | Disabled,,Indian Sign Language Dictionary till January 2024,Dataset,73.0,Indian Sign Language Dictionary,nan,1,True,0,0,nan,,1163
54,,Others,,Department of Health and Family Welfare,Annual,Department of Health and Family Welfare,24/12/2014,29/12/2014,9/12/2021,,,text/csv,,0,data.gov.in/resource/percentage-households-having-electricity-improved-source-drinking-water-having-access,,,,,Central,,,NA :Percentage not shown for below 20 cases; The data of 21 states have been provided,Ministry of Health and Family Welfare;Department of Health and Family Welfare | Department of Health and Family Welfare,nan,,,,data.gov.in,Health and Family welfare;Family Welfare;Health | Health and Family welfare;Family Welfare;Health,,"Percentage of households having electricity, Improved source of drinking water, Having access to improved toilet facility, Use clean fuel for cooking - DLHS IV",Dataset,nan,District Level Household and Facility Survey (DLHS-4),nan,1,True,1,1,0.0,,1144
55,,One-time,,India Meteorological Department (IMD),Monthly,India Meteorological Department (IMD),31/5/2013,31/5/2013,17/4/2014,,,application/vnd.ms-excel,,0,data.gov.in/resource/district-rainfall-normal-mm-monthly-seasonal-and-annual-data-period-1951-2000,,,,,Central,,,nan,Ministry of Earth Sciences;India Meteorological Department (IMD) | India Meteorological Department (IMD),nan,,,,data.gov.in,Science and Technology;Atmospheric Science | Science and Technology;Atmospheric Science,,"District Rainfall Normal (in mm) Monthly, Seasonal And Annual : Data Period 1951-2000",Dataset,nan,"District Rainfall Normal (in mm) Monthly, Seasonal And Annual : Data Period 1951-2000",nan,1,True,1,1,1.0,,1141
56,,Annual,,Central Pollution Control Board,Daily,Central Pollution Control Board,6/10/2016,17/10/2016,10/12/2021,,,text/csv,,0,data.gov.in/resource/location-wise-daily-ambient-air-quality-tamil-nadu-year-2014,,,,,Central,,,"Data has been collected from the field instruments, It is likely that the data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time; NA: Not Available/Not Applicable; Figures are in micrograms (one-millionth of a gram) per cubic meter.","Ministry of Environment, Forest and Climate Change;Central Pollution Control Board | Central Pollution Control Board",nan,,,,data.gov.in,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution | Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,,Location wise daily Ambient Air Quality of Tamil Nadu for the year 2014,Dataset,nan,Historical Daily Ambient Air Quality Data,nan,1,True,1,1,0.0,,1081
57,,Five Yearly,,"Ministry of Fisheries, Animal Husbandry and Dairying",Five Yearly,"Ministry of Fisheries, Animal Husbandry and Dairying",3/11/2015,12/11/2015,12/11/2015,,,text/csv,,0,data.gov.in/resource/district-wise-number-poultry-farms-and-poultry-birds-farms-2007-tamil-nadu,,,,,Central,,,18th Livestock census. All values are in number.,"Department of Animal Husbandry and Dairying;Ministry of Fisheries, Animal Husbandry and Dairying | Ministry of Fisheries, Animal Husbandry and Dairying",nan,,,,data.gov.in,Agriculture;Animal Husbandry | Agriculture;Animal Husbandry,,"District wise Number of Poultry Farms and Poultry Birds in Farms, 2007  - Tamil Nadu",Dataset,nan,Details of Poultry Farms and Poultry Birds in Farms,nan,1,True,1,1,1.0,,1018
58,,Others,,International Institute for Population Sciences (IIPS),Others,International Institute for Population Sciences (IIPS),10/5/2022,26/8/2022,26/8/2022,,,application/vnd.ms-excel,,1,data.gov.in/resource/longitudinal-ageing-study-india-lasi-wave-i-2017-18,,,,,Central,,,"* Including spouse irrespective of age, - indicates less number of cases/ no cases.This factsheet data is based on LASI state factsheets. This information is based on LASI eligible respondents (45+) ** Sikkim state data collection was carried out in 2020-21, this factsheet was release in 2022.While preparing this datasheet, two indicators from India factsheet - 167 & 168 are omitted to match with state/Uts factsheet indicators for detailed footnote refer to https://www.iipsindia.ac.in/sites/default/files/LASI_India_Factsheet.pdfhttps://www.iipsindia.ac.in/sites/default/files/other_files/LASI-Compendium_of_Factsheets%20_All_States_%26_UTs1.pdf",Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS) | International Institute for Population Sciences (IIPS),0.0,,,,data.gov.in,Health and Family welfare;Health | Health,,"Longitudinal Ageing Study in India (LASI), Wave  I, 2017-18",Dataset,3.0,Longitudinal Ageing Study in India (LASI),nan,1,True,0,0,nan,,972
59,,Monthly,,Ministry of Statistics and Programme Implementation,Monthly,Ministry of Statistics and Programme Implementation,17/1/2022,25/1/2022,27/1/2022,,,text/csv,,0,data.gov.in/resource/state-level-consumer-price-index-ruralurban-upto-november-2021,,,,,Central,,,nan,Ministry of Statistics and Programme Implementation | Ministry of Statistics and Programme Implementation,0.0,,,,data.gov.in,Economy;Prices;Finance;Economy;Statistics,,State Level Consumer Price Index (Rural/Urban)  upto November 2021,Dataset,1.0,State Level Consumer Price Index (Rural/Urban),nan,1,True,1,0,1.0,,937
60,,Annual,,Ministry of Road Transport and Highways,Annual,Ministry of Road Transport and Highways,28/4/2014,8/5/2014,1/9/2016,,,text/csv,,0,data.gov.in/resource/number-newly-registered-motor-vehicles-2009-10-and-2010-11-and-number-registered-motor-22,,,,,Central,,,All figures are in numbers; Source: Offices of State Transport Commissioners/UT Administrations; The data has been sourced from Road Transport Year Book-2009-10 & 2010-11.,Ministry of Road Transport and Highways | Ministry of Road Transport and Highways,nan,,,,data.gov.in,Transport;Road Transport | Transport;Road Transport,,Number of Newly Registered Motor Vehicles in 2009-10 and 2010-11 and Number of Registered Motor Vehicles as on 31st March 2010 and as on 31st March 2011 in Tamil Nadu,Dataset,nan,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Tamil Nadu,nan,1,True,1,1,1.0,,920
61,,nan,,Department of School Education and Literacy,nan,Department of School Education and Literacy,10/9/2023,14/9/2023,14/9/2023,,,text/csv,,0,data.gov.in/resource/stateut-wise-district-score-during-2021-22,,,,,Central,,,nan,Ministry of Education;Department of School Education and Literacy | Department of School Education and Literacy,0.0,,,,data.gov.in,Education | Army,,State/UT-wise District Score during 2021-22,Dataset,1.0,Performance Grading Index (PGI),0.0,1,True,0,0,nan,,915
62,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",1/8/2022,16/1/2023,16/1/2023,,,text/csv,,1,data.gov.in/resource/seasonal-and-annual-minimum-maximum-temperature-series-period-1901-2021,,,,,Central,,,nan,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Earth Sciences | Earth Sciences,,Seasonal and Annual Minimum / Maximum Temperature series for the period 1901-2021,Dataset,nan,All India Seasonal and Annual Temperature Series,nan,1,True,0,0,nan,,913
63,,One-time,,National Water Informatics Centre,One-time,National Water Informatics Centre,16/9/2022,28/9/2022,28/9/2022,,,application/zip,,1,data.gov.in/resource/shape-watershed-boundaries-india,,,,,Central,,,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf","Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",0.0,,,,data.gov.in,Surface Water;Ground Water | Ground Water;Surface Water,,Shape of Watershed Boundaries of India,Dataset,nan,Hydrological Boundaries,nan,2,True,0,0,nan,,912
64,,Annual,,Ministry of Road Transport and Highways,Annual,Ministry of Road Transport and Highways,13/2/2014,7/5/2014,7/5/2014,,,text/csv,,0,data.gov.in/resource/number-newly-registered-motor-vehicles-2011-12-and-number-registered-motor-vehicles-31st-7,,,,,Central,,,All figures are in numbers; Source: Offices of State Transport Commissioners/UT Administrations; NA-Not Reported; The data has been sourced from Road Transport Year Book-2011-12.,Ministry of Road Transport and Highways | Ministry of Road Transport and Highways,nan,,,,data.gov.in,Transport;Road Transport | Transport;Road Transport,,"Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Delhi",Dataset,nan,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Delhi,nan,1,True,1,1,1.0,,901
65,,Annual,,Ministry of Road Transport and Highways,Annual,Ministry of Road Transport and Highways,18/5/2016,3/6/2016,10/12/2021,,,text/csv,,0,data.gov.in/resource/total-number-registered-motor-vehicles-india-during-1951-2013,,,,,Central,,,"All figures are in thousands; *: Two-wheelers include auto-rickshaws for the years ending 31st March 1959, 1960, 1962, 1963, 1964, 1965, 1967, 1968 and 1969. For the remaining years, auto-rickshaws are included in Others; **: Others include tractors, trailers, three wheelers (passenger vehicles)/LMV and other miscellaneous vehicles which are not classified separately; @: Includes Omni buses since 2001; Totals may not tally due to rounding off of data; Source: Offices of State Transport Commissioners/UT Administration",Ministry of Road Transport and Highways | Ministry of Road Transport and Highways,nan,,,,data.gov.in,Transport;Road Transport | Transport;Road Transport,,Total Number of Registered Motor Vehicles in India during 1951-2013,Dataset,nan,Total Number of Registered Motor Vehicles in India,nan,1,True,1,1,1.0,,891
66,,Annual,,"India Meteorological Department (IMD), Pune",Others,"India Meteorological Department (IMD), Pune",4/12/2018,18/12/2018,17/2/2025,,,text/csv,,0,data.gov.in/resource/year-wise-annual-frequency-cyclones-34-knots-or-more-and-severe-cyclones-48-knots-or-more,,,,,Central,,,Source: India Meteorological Department; WB: West Bengal; OD: Odisha; AP: Andhra Pradesh; TN: Tamil Nadu; GJ: Gujarat; MH/GA: Maharashtra & Goa; KK: Karnataka; KR: Kerala.,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Earth Sciences;Earth Sciences;Earth Sciences,,Year-wise Annual frequency of cyclones (34 knots or more) and severe cyclones (48 knots or more) crossing different coastal states of India from 1891 to 2017,Dataset,nan,Yearly and Seasonal Frequency of Cyclones and Depressions,nan,1,True,1,1,1.0,,881
67,,Weekly,,Department for Promotion of industry and Internal Trade,Weekly,Department for Promotion of industry and Internal Trade,29/12/2022,3/3/2023,27/6/2025,,,text/csv,,1,data.gov.in/resource/weekly-patent-application-granted,,,,,Central,,,nan,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade | Department for Promotion of industry and Internal Trade,1.0,,,,data.gov.in,Industries,,Weekly Patent Application Granted,Dataset,4.0,Patent Application,7412118.0,5,True,1,0,nan,,868
68,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",1/8/2022,16/1/2023,16/1/2023,,,text/csv,,1,data.gov.in/resource/monthly-seasonal-and-annual-mean-temperature-series-period-1901-2021,,,,,Central,,,nan,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Earth Sciences | Earth Sciences,,"Monthly, Seasonal and Annual Mean Temperature Series for the period 1901-2021",Dataset,1.0,All India Seasonal and Annual Temperature Series,nan,1,True,0,0,nan,,866
69,,Annual,,Office of the Economic Adviser,Annual,Office of the Economic Adviser,14/9/2017,21/9/2017,27/6/2025,,,text/csv,,0,data.gov.in/resource/eight-core-industries-base-year-2011-12-till-last-financial-year,,,,,Central,,,"Since October, 2016, Electricity generation data from Renewable sources is also included; NA: Not Applicable/Available",Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser | Office of the Economic Adviser,1.0,,,,data.gov.in,Industries;Manufacturing | Industries;Manufacturing,,Eight Core Industries (Base Year 2011-12) till last financial year,Dataset,nan,Eight Core Industries,4260981.0,4,True,1,1,1.0,,866
70,,Biannual,,Ministry of Electronics and Information Technology (MeitY),Annual,Ministry of Electronics and Information Technology (MeitY),9/11/2021,23/11/2021,27/1/2022,,,text/csv,,0,data.gov.in/resource/list-all-startups-meity-startup-hub,,,,,Central,,,"India is home to one of the most vibrant startup ecosystems with close to 8000 tech startups, making it the 2nd largest startup ecosystem in the world. Hence, innovation and entrepreneurship is the emerging focus area that is being aggressively promoted to give fillip to the Indian economy. Ministry of Electronics & Information Technology, Government of India is leading and facilitating a gamut of Innovation and IPR related activities across the country towards expansion of this ecosystem. In order to facilitate MeitY vision of promoting technology innovation, startups and creation of Intellectual Properties, a nodal entity called MeitY Startup Hub has been setup under its aegis. MSH will act as a national coordination, facilitation and monitoring center that will integrate all the incubation centers, startups and innovation related activities of MeitY.",Ministry of Electronics and Information Technology (MeitY) | Ministry of Electronics and Information Technology (MeitY),0.0,,,,data.gov.in,Information and Communications;Information and Technology | Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology;Information and Broadcasting;Information and Technology,,List of all Startups from Meity Startup Hub ,Dataset,4.0,Startup Hub,nan,1,True,1,0,1.0,,861
71,,Daily,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",19/11/2019,21/11/2019,2/1/2020,,,application/json,,1,data.gov.in/resource/list-msme-registered-units-under-udyog-aadhaar-memorandum-maharashtra,,,,,Central,,,"Dataset can be downloaded in csv format by using the provided URL and passing appropriate parameter options such as:- api-Key: Generate your personal API key (sample key returns maximum of 10 records at a time) and use that key to consume more than 10 records at a time (Example: api-key=Your API Key); format: Fill format as 'csv' to download the dataset in csv format (Example: format=csv); offset: User can download the dataset from 1st record onwards by setting offset (Example: offset=0), If user wants to download more records than the limit set then they can use the previously set limit as the new offset; limit: User can download maximum of 10000 records in one go (Example: limit=10000).","Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Medium;Micro;Small Scale | Medium;Micro;Small Scale,,List of MSME Registered Units under Udyog Aadhaar Memorandum - Maharashtra,Dataset,52.0,List of MSME Registered Units  under Udyog Aadhaar Memorandum till last date,6714764.0,2,False,0,1,0.0,,843
72,,Annual,,Department of Chemicals and Petrochemicals,Annual,Department of Chemicals and Petrochemicals,24/1/2023,24/1/2023,24/1/2023,,,text/csv,,0,data.gov.in/resource/imports-major-chemical-product-wise-group-wise-2014-15-2021-22,,,,,Central,,,"Data Figure Quantity in MT and Values in Rs Lakh. Data source in respect of Imports of Chemicals is Directorate General of Commercial Intelligence and Statistics (DGCIS), Kolkata. Product - It includes those chemical products which are being monitored by S&M Division of D/o Chemicals & Petrochemicals.",Ministry of Chemicals and Fertilizers;Department of Chemicals and Petrochemicals | Department of Chemicals and Petrochemicals,0.0,,,,data.gov.in,Industries;Chemicals and Petrochemicals,,Imports of Major Chemical - Product-wise / Group-wise from 2014-15 to 2021-22,Dataset,nan,Import of Major Chemicals - Product-wise / Group-wise,nan,1,True,1,0,nan,,841
73,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",13/11/2017,18/12/2017,10/12/2021,,,text/csv,,0,data.gov.in/resource/subdivision-wise-rainfall-and-its-departure-1901-2015,,,,,Central,,,"Figures of  Actual, Percentage departure, Mean and Standard deviation are in mm; NA: Not Applicable/Not Available.","Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Atmospheric Science;Earth Sciences | Science and Technology;Atmospheric Science;Earth Sciences,,Subdivision wise Rainfall and its departure from 1901 to 2015,Dataset,nan,Rainfall in India,nan,1,True,1,1,1.0,,836
